"Mean_Protein_molecules","Fano_factor","genotype"
45.2,86.25,"Allelic tag 22A3 mutant"
46.13,3.64,"Allelic tag 22A3 mutant"
47.24,62.22,"Allelic tag 22A3 mutant"
48.36,5.2,"Allelic tag 22A3 mutant"
49.22,10.75,"Allelic tag 22A3 mutant"
50.62,27.65,"Allelic tag 22A3 mutant"
51.84,2.05,"Allelic tag 22A3 mutant"
52.64,5.29,"Allelic tag 22A3 mutant"
53.89,17.65,"Allelic tag 22A3 mutant"
55.02,61.01,"Allelic tag 22A3 mutant"
56.34,22.95,"Allelic tag 22A3 mutant"
57.58,31.03,"Allelic tag 22A3 mutant"
59.02,91.34,"Allelic tag 22A3 mutant"
60.25,14.52,"Allelic tag 22A3 mutant"
61.61,14.83,"Allelic tag 22A3 mutant"
63.16,26.2,"Allelic tag 22A3 mutant"
64.48,33.68,"Allelic tag 22A3 mutant"
65.97,50.81,"Allelic tag 22A3 mutant"
67.33,24.18,"Allelic tag 22A3 mutant"
68.84,67.48,"Allelic tag 22A3 mutant"
70.38,76.08,"Allelic tag 22A3 mutant"
71.96,86.43,"Allelic tag 22A3 mutant"
73.58,91.92,"Allelic tag 22A3 mutant"
75.3,50.19,"Allelic tag 22A3 mutant"
77.03,54.35,"Allelic tag 22A3 mutant"
78.67,140.19,"Allelic tag 22A3 mutant"
80.61,77.39,"Allelic tag 22A3 mutant"
82.36,69.88,"Allelic tag 22A3 mutant"
84.16,68.6,"Allelic tag 22A3 mutant"
85.96,72.16,"Allelic tag 22A3 mutant"
87.99,69.66,"Allelic tag 22A3 mutant"
90.06,78.63,"Allelic tag 22A3 mutant"
91.96,98.98,"Allelic tag 22A3 mutant"
94.08,66.11,"Allelic tag 22A3 mutant"
96.07,82.81,"Allelic tag 22A3 mutant"
98.34,62.24,"Allelic tag 22A3 mutant"
100.76,89.49,"Allelic tag 22A3 mutant"
102.92,51.09,"Allelic tag 22A3 mutant"
105.22,58.54,"Allelic tag 22A3 mutant"
107.56,75.77,"Allelic tag 22A3 mutant"
109.98,76.56,"Allelic tag 22A3 mutant"
112.39,73.27,"Allelic tag 22A3 mutant"
115.03,50.83,"Allelic tag 22A3 mutant"
117.53,65.74,"Allelic tag 22A3 mutant"
120.29,75.2,"Allelic tag 22A3 mutant"
123.12,69.83,"Allelic tag 22A3 mutant"
125.76,77.07,"Allelic tag 22A3 mutant"
128.52,59.37,"Allelic tag 22A3 mutant"
131.58,46.71,"Allelic tag 22A3 mutant"
134.37,70.56,"Allelic tag 22A3 mutant"
137.67,35,"Allelic tag 22A3 mutant"
140.61,59.77,"Allelic tag 22A3 mutant"
144.09,52.59,"Allelic tag 22A3 mutant"
147.06,43.18,"Allelic tag 22A3 mutant"
150.33,27.34,"Allelic tag 22A3 mutant"
153.69,46.05,"Allelic tag 22A3 mutant"
157.21,51.32,"Allelic tag 22A3 mutant"
160.74,36.84,"Allelic tag 22A3 mutant"
164.22,36.29,"Allelic tag 22A3 mutant"
168.1,25.99,"Allelic tag 22A3 mutant"
172.09,35.69,"Allelic tag 22A3 mutant"
175.59,33.73,"Allelic tag 22A3 mutant"
179.82,27.19,"Allelic tag 22A3 mutant"
183.98,29.52,"Allelic tag 22A3 mutant"
187.75,49.54,"Allelic tag 22A3 mutant"
191.94,50.84,"Allelic tag 22A3 mutant"
196.5,30.33,"Allelic tag 22A3 mutant"
200.9,41.93,"Allelic tag 22A3 mutant"
205.5,24.35,"Allelic tag 22A3 mutant"
210.2,24.97,"Allelic tag 22A3 mutant"
214.83,51.8,"Allelic tag 22A3 mutant"
219.7,25.65,"Allelic tag 22A3 mutant"
224.77,32.86,"Allelic tag 22A3 mutant"
229.56,26.48,"Allelic tag 22A3 mutant"
234.78,34.7,"Allelic tag 22A3 mutant"
240.35,25.9,"Allelic tag 22A3 mutant"
245.68,22.21,"Allelic tag 22A3 mutant"
251.18,31.3,"Allelic tag 22A3 mutant"
256.81,17.95,"Allelic tag 22A3 mutant"
262.53,33.6,"Allelic tag 22A3 mutant"
268.22,21.09,"Allelic tag 22A3 mutant"
274.34,31.88,"Allelic tag 22A3 mutant"
280.36,31.07,"Allelic tag 22A3 mutant"
286.88,49.26,"Allelic tag 22A3 mutant"
293.37,23.69,"Allelic tag 22A3 mutant"
300.19,30.16,"Allelic tag 22A3 mutant"
307.24,22.67,"Allelic tag 22A3 mutant"
313.79,23.5,"Allelic tag 22A3 mutant"
321.06,33.84,"Allelic tag 22A3 mutant"
328.16,21.57,"Allelic tag 22A3 mutant"
335.08,28.88,"Allelic tag 22A3 mutant"
342.91,8.68,"Allelic tag 22A3 mutant"
350.41,21.89,"Allelic tag 22A3 mutant"
358.65,13.23,"Allelic tag 22A3 mutant"
366.84,26.04,"Allelic tag 22A3 mutant"
374.83,37.87,"Allelic tag 22A3 mutant"
383.64,25.8,"Allelic tag 22A3 mutant"
391.73,33.44,"Allelic tag 22A3 mutant"
400.95,29.88,"Allelic tag 22A3 mutant"
410.05,27.11,"Allelic tag 22A3 mutant"
419.52,16.02,"Allelic tag 22A3 mutant"
429,24.43,"Allelic tag 22A3 mutant"
438.28,24.71,"Allelic tag 22A3 mutant"
448.12,30.77,"Allelic tag 22A3 mutant"
458.25,30.28,"Allelic tag 22A3 mutant"
468.93,28.24,"Allelic tag 22A3 mutant"
479.76,24.57,"Allelic tag 22A3 mutant"
490.4,27.92,"Allelic tag 22A3 mutant"
501.34,29.41,"Allelic tag 22A3 mutant"
513.07,29.98,"Allelic tag 22A3 mutant"
524.58,23.31,"Allelic tag 22A3 mutant"
536.33,32.71,"Allelic tag 22A3 mutant"
548.2,28.98,"Allelic tag 22A3 mutant"
560.84,38.58,"Allelic tag 22A3 mutant"
573.27,35.79,"Allelic tag 22A3 mutant"
585.51,26.68,"Allelic tag 22A3 mutant"
599.52,30.01,"Allelic tag 22A3 mutant"
613.54,33.96,"Allelic tag 22A3 mutant"
627.02,23.6,"Allelic tag 22A3 mutant"
640.59,32.01,"Allelic tag 22A3 mutant"
655.11,41.91,"Allelic tag 22A3 mutant"
669.41,38.86,"Allelic tag 22A3 mutant"
685.53,37.18,"Allelic tag 22A3 mutant"
700.7,30.55,"Allelic tag 22A3 mutant"
716.54,30.65,"Allelic tag 22A3 mutant"
732.84,36.49,"Allelic tag 22A3 mutant"
748.75,38.01,"Allelic tag 22A3 mutant"
766.27,44.81,"Allelic tag 22A3 mutant"
783.08,27.27,"Allelic tag 22A3 mutant"
801.58,28.4,"Allelic tag 22A3 mutant"
819.17,25.78,"Allelic tag 22A3 mutant"
837.93,35.04,"Allelic tag 22A3 mutant"
856.36,34.11,"Allelic tag 22A3 mutant"
875.86,26.23,"Allelic tag 22A3 mutant"
895.54,55.07,"Allelic tag 22A3 mutant"
915.9,43.45,"Allelic tag 22A3 mutant"
935.83,28.53,"Allelic tag 22A3 mutant"
958.19,50.39,"Allelic tag 22A3 mutant"
979.6,27.59,"Allelic tag 22A3 mutant"
1001.76,44.28,"Allelic tag 22A3 mutant"
1023.86,40.63,"Allelic tag 22A3 mutant"
1046.19,40.41,"Allelic tag 22A3 mutant"
1069.94,42.57,"Allelic tag 22A3 mutant"
1094.14,43.73,"Allelic tag 22A3 mutant"
1118.97,24.38,"Allelic tag 22A3 mutant"
1144.28,58.24,"Allelic tag 22A3 mutant"
1170.63,44.85,"Allelic tag 22A3 mutant"
1196.16,37.4,"Allelic tag 22A3 mutant"
1223.37,42.05,"Allelic tag 22A3 mutant"
1252.07,39.12,"Allelic tag 22A3 mutant"
1278.99,36.81,"Allelic tag 22A3 mutant"
1307.78,32.97,"Allelic tag 22A3 mutant"
1336.58,45.82,"Allelic tag 22A3 mutant"
1368.09,40.76,"Allelic tag 22A3 mutant"
1398.77,58.05,"Allelic tag 22A3 mutant"
1429.51,23.41,"Allelic tag 22A3 mutant"
1462.14,50.36,"Allelic tag 22A3 mutant"
1495.65,69.01,"Allelic tag 22A3 mutant"
45.35,102.94,"Allelic tag 57F5 mutant"
46.2,34.72,"Allelic tag 57F5 mutant"
47.19,57.36,"Allelic tag 57F5 mutant"
48.41,16.45,"Allelic tag 57F5 mutant"
49.24,20.79,"Allelic tag 57F5 mutant"
51.41,31.64,"Allelic tag 57F5 mutant"
52.93,24.85,"Allelic tag 57F5 mutant"
53.83,19,"Allelic tag 57F5 mutant"
55.21,21.2,"Allelic tag 57F5 mutant"
56.32,62.81,"Allelic tag 57F5 mutant"
57.6,39.84,"Allelic tag 57F5 mutant"
58.89,44.3,"Allelic tag 57F5 mutant"
60.2,36.97,"Allelic tag 57F5 mutant"
61.77,20.99,"Allelic tag 57F5 mutant"
62.83,8.74,"Allelic tag 57F5 mutant"
64.53,40.26,"Allelic tag 57F5 mutant"
65.78,36.99,"Allelic tag 57F5 mutant"
67.55,42.49,"Allelic tag 57F5 mutant"
68.81,55.19,"Allelic tag 57F5 mutant"
70.36,35.49,"Allelic tag 57F5 mutant"
72.11,17.33,"Allelic tag 57F5 mutant"
73.57,16.29,"Allelic tag 57F5 mutant"
75.38,62.92,"Allelic tag 57F5 mutant"
77.1,42.56,"Allelic tag 57F5 mutant"
78.77,61.9,"Allelic tag 57F5 mutant"
80.51,50.06,"Allelic tag 57F5 mutant"
82.38,50.75,"Allelic tag 57F5 mutant"
84.04,58.54,"Allelic tag 57F5 mutant"
85.91,55.98,"Allelic tag 57F5 mutant"
87.98,27.06,"Allelic tag 57F5 mutant"
89.9,27.04,"Allelic tag 57F5 mutant"
92.02,43.48,"Allelic tag 57F5 mutant"
94.03,15.87,"Allelic tag 57F5 mutant"
96.15,43.49,"Allelic tag 57F5 mutant"
98.38,24.57,"Allelic tag 57F5 mutant"
100.61,60.91,"Allelic tag 57F5 mutant"
102.85,55.43,"Allelic tag 57F5 mutant"
105.21,99.28,"Allelic tag 57F5 mutant"
107.7,58.58,"Allelic tag 57F5 mutant"
110.01,63.42,"Allelic tag 57F5 mutant"
112.22,57.04,"Allelic tag 57F5 mutant"
114.96,69.31,"Allelic tag 57F5 mutant"
117.65,78.91,"Allelic tag 57F5 mutant"
120.4,62.95,"Allelic tag 57F5 mutant"
123.01,84.8,"Allelic tag 57F5 mutant"
125.64,67.36,"Allelic tag 57F5 mutant"
128.54,70.91,"Allelic tag 57F5 mutant"
131.32,53.71,"Allelic tag 57F5 mutant"
134.22,67.48,"Allelic tag 57F5 mutant"
137.34,44.11,"Allelic tag 57F5 mutant"
140.72,72.53,"Allelic tag 57F5 mutant"
143.8,52.22,"Allelic tag 57F5 mutant"
146.94,55.85,"Allelic tag 57F5 mutant"
150.24,63.92,"Allelic tag 57F5 mutant"
153.74,69.09,"Allelic tag 57F5 mutant"
157.32,52.54,"Allelic tag 57F5 mutant"
160.76,79.28,"Allelic tag 57F5 mutant"
164.45,50.15,"Allelic tag 57F5 mutant"
167.96,65.06,"Allelic tag 57F5 mutant"
171.78,75.92,"Allelic tag 57F5 mutant"
175.66,34.01,"Allelic tag 57F5 mutant"
179.78,49.84,"Allelic tag 57F5 mutant"
183.47,31.18,"Allelic tag 57F5 mutant"
187.92,57.51,"Allelic tag 57F5 mutant"
192.04,28.8,"Allelic tag 57F5 mutant"
196.65,49.19,"Allelic tag 57F5 mutant"
200.79,53.65,"Allelic tag 57F5 mutant"
205.53,60.79,"Allelic tag 57F5 mutant"
209.81,75.56,"Allelic tag 57F5 mutant"
214.74,49.54,"Allelic tag 57F5 mutant"
219.5,69.21,"Allelic tag 57F5 mutant"
224.46,77.81,"Allelic tag 57F5 mutant"
229.62,74.72,"Allelic tag 57F5 mutant"
234.85,72.73,"Allelic tag 57F5 mutant"
240.17,105.8,"Allelic tag 57F5 mutant"
245.68,96.57,"Allelic tag 57F5 mutant"
250.98,95.99,"Allelic tag 57F5 mutant"
256.7,92.73,"Allelic tag 57F5 mutant"
262.41,114.08,"Allelic tag 57F5 mutant"
268.48,84.51,"Allelic tag 57F5 mutant"
274.43,81.45,"Allelic tag 57F5 mutant"
280.7,83.67,"Allelic tag 57F5 mutant"
286.59,91.71,"Allelic tag 57F5 mutant"
293.38,92.14,"Allelic tag 57F5 mutant"
300.34,62.97,"Allelic tag 57F5 mutant"
306.76,79.07,"Allelic tag 57F5 mutant"
314.1,67.69,"Allelic tag 57F5 mutant"
320.99,72.27,"Allelic tag 57F5 mutant"
328.3,73.03,"Allelic tag 57F5 mutant"
335.6,64.1,"Allelic tag 57F5 mutant"
343.1,101.94,"Allelic tag 57F5 mutant"
350.59,88.25,"Allelic tag 57F5 mutant"
358.73,115.19,"Allelic tag 57F5 mutant"
366.85,101.51,"Allelic tag 57F5 mutant"
375.35,134.34,"Allelic tag 57F5 mutant"
383.57,116.3,"Allelic tag 57F5 mutant"
392.26,128.2,"Allelic tag 57F5 mutant"
401.05,146.25,"Allelic tag 57F5 mutant"
410.09,162.35,"Allelic tag 57F5 mutant"
419.38,156.66,"Allelic tag 57F5 mutant"
428.61,149.82,"Allelic tag 57F5 mutant"
438.55,140.6,"Allelic tag 57F5 mutant"
448.29,145.42,"Allelic tag 57F5 mutant"
458.55,121.34,"Allelic tag 57F5 mutant"
468.84,134.46,"Allelic tag 57F5 mutant"
479.6,118.28,"Allelic tag 57F5 mutant"
490.47,139.05,"Allelic tag 57F5 mutant"
501.37,110.22,"Allelic tag 57F5 mutant"
512.87,96.65,"Allelic tag 57F5 mutant"
524.66,77.07,"Allelic tag 57F5 mutant"
536.34,93.01,"Allelic tag 57F5 mutant"
548.03,82.57,"Allelic tag 57F5 mutant"
560.42,73.12,"Allelic tag 57F5 mutant"
572.9,70.9,"Allelic tag 57F5 mutant"
586.09,73.44,"Allelic tag 57F5 mutant"
599.14,63.6,"Allelic tag 57F5 mutant"
613.11,55.05,"Allelic tag 57F5 mutant"
626.24,66.14,"Allelic tag 57F5 mutant"
640.6,57.96,"Allelic tag 57F5 mutant"
655.01,63.69,"Allelic tag 57F5 mutant"
669.96,49.29,"Allelic tag 57F5 mutant"
685.07,46.95,"Allelic tag 57F5 mutant"
700.87,58.12,"Allelic tag 57F5 mutant"
716.79,52.65,"Allelic tag 57F5 mutant"
732.15,47.31,"Allelic tag 57F5 mutant"
748.69,43.87,"Allelic tag 57F5 mutant"
765.53,50.37,"Allelic tag 57F5 mutant"
783.32,43.51,"Allelic tag 57F5 mutant"
801.14,51.97,"Allelic tag 57F5 mutant"
818.7,59.46,"Allelic tag 57F5 mutant"
837.26,31.21,"Allelic tag 57F5 mutant"
856.42,44.61,"Allelic tag 57F5 mutant"
875.27,47.23,"Allelic tag 57F5 mutant"
894.74,45.31,"Allelic tag 57F5 mutant"
915.75,37.84,"Allelic tag 57F5 mutant"
936.14,40.99,"Allelic tag 57F5 mutant"
957.5,54.47,"Allelic tag 57F5 mutant"
978.91,50.07,"Allelic tag 57F5 mutant"
1001.19,43.25,"Allelic tag 57F5 mutant"
1023.93,38.68,"Allelic tag 57F5 mutant"
1047.03,49.66,"Allelic tag 57F5 mutant"
1069.49,30.1,"Allelic tag 57F5 mutant"
1094.54,50.64,"Allelic tag 57F5 mutant"
1119.23,56.62,"Allelic tag 57F5 mutant"
1143.9,38.34,"Allelic tag 57F5 mutant"
1170.14,38.2,"Allelic tag 57F5 mutant"
1196.18,44.92,"Allelic tag 57F5 mutant"
1223.49,54.88,"Allelic tag 57F5 mutant"
1250.6,41.99,"Allelic tag 57F5 mutant"
1279.07,35.69,"Allelic tag 57F5 mutant"
1309.24,51.87,"Allelic tag 57F5 mutant"
1338.09,66.31,"Allelic tag 57F5 mutant"
1366.88,57.06,"Allelic tag 57F5 mutant"
1399.22,45.03,"Allelic tag 57F5 mutant"
1430.94,48.51,"Allelic tag 57F5 mutant"
1461.28,54.83,"Allelic tag 57F5 mutant"
1495.62,62.05,"Allelic tag 57F5 mutant"
60.28,82.69,"Allelic tag 22A3/57F5 mutant"
61.5,736.41,"Allelic tag 22A3/57F5 mutant"
62.84,150.08,"Allelic tag 22A3/57F5 mutant"
64.53,52.8,"Allelic tag 22A3/57F5 mutant"
65.76,71.48,"Allelic tag 22A3/57F5 mutant"
67.32,123.95,"Allelic tag 22A3/57F5 mutant"
68.85,155.74,"Allelic tag 22A3/57F5 mutant"
70.54,61.93,"Allelic tag 22A3/57F5 mutant"
72.11,92.81,"Allelic tag 22A3/57F5 mutant"
73.68,90.95,"Allelic tag 22A3/57F5 mutant"
75.44,177.03,"Allelic tag 22A3/57F5 mutant"
77.12,101,"Allelic tag 22A3/57F5 mutant"
78.82,84.56,"Allelic tag 22A3/57F5 mutant"
80.57,157.16,"Allelic tag 22A3/57F5 mutant"
82.26,88.91,"Allelic tag 22A3/57F5 mutant"
84.04,90.6,"Allelic tag 22A3/57F5 mutant"
86.22,86.45,"Allelic tag 22A3/57F5 mutant"
88,76.64,"Allelic tag 22A3/57F5 mutant"
90.03,64.81,"Allelic tag 22A3/57F5 mutant"
92.05,98.47,"Allelic tag 22A3/57F5 mutant"
93.98,80.94,"Allelic tag 22A3/57F5 mutant"
96.13,98.22,"Allelic tag 22A3/57F5 mutant"
98.35,81.06,"Allelic tag 22A3/57F5 mutant"
100.7,60.18,"Allelic tag 22A3/57F5 mutant"
103.06,69.74,"Allelic tag 22A3/57F5 mutant"
105.27,51.31,"Allelic tag 22A3/57F5 mutant"
107.43,78.9,"Allelic tag 22A3/57F5 mutant"
109.98,52.03,"Allelic tag 22A3/57F5 mutant"
112.56,93.59,"Allelic tag 22A3/57F5 mutant"
115.08,42.65,"Allelic tag 22A3/57F5 mutant"
117.66,107.81,"Allelic tag 22A3/57F5 mutant"
120.23,65.49,"Allelic tag 22A3/57F5 mutant"
122.89,43.02,"Allelic tag 22A3/57F5 mutant"
125.87,42.41,"Allelic tag 22A3/57F5 mutant"
128.59,56.44,"Allelic tag 22A3/57F5 mutant"
131.57,55.81,"Allelic tag 22A3/57F5 mutant"
134.3,47.74,"Allelic tag 22A3/57F5 mutant"
137.45,43.44,"Allelic tag 22A3/57F5 mutant"
140.61,66.63,"Allelic tag 22A3/57F5 mutant"
143.99,66.29,"Allelic tag 22A3/57F5 mutant"
146.92,55.09,"Allelic tag 22A3/57F5 mutant"
150.4,36.88,"Allelic tag 22A3/57F5 mutant"
153.53,44.86,"Allelic tag 22A3/57F5 mutant"
156.95,52,"Allelic tag 22A3/57F5 mutant"
160.79,50.33,"Allelic tag 22A3/57F5 mutant"
164.39,42.11,"Allelic tag 22A3/57F5 mutant"
167.95,75.74,"Allelic tag 22A3/57F5 mutant"
171.63,23.73,"Allelic tag 22A3/57F5 mutant"
175.54,56,"Allelic tag 22A3/57F5 mutant"
179.3,55.4,"Allelic tag 22A3/57F5 mutant"
183.75,38.97,"Allelic tag 22A3/57F5 mutant"
187.92,20.68,"Allelic tag 22A3/57F5 mutant"
192.14,29.95,"Allelic tag 22A3/57F5 mutant"
196.66,35.82,"Allelic tag 22A3/57F5 mutant"
200.95,35.03,"Allelic tag 22A3/57F5 mutant"
205.79,27.64,"Allelic tag 22A3/57F5 mutant"
210.14,47.91,"Allelic tag 22A3/57F5 mutant"
214.77,43.62,"Allelic tag 22A3/57F5 mutant"
219.69,42.26,"Allelic tag 22A3/57F5 mutant"
224.65,44.95,"Allelic tag 22A3/57F5 mutant"
229.59,43.79,"Allelic tag 22A3/57F5 mutant"
234.87,29.02,"Allelic tag 22A3/57F5 mutant"
240.25,42.01,"Allelic tag 22A3/57F5 mutant"
245.52,31.98,"Allelic tag 22A3/57F5 mutant"
251.29,40.18,"Allelic tag 22A3/57F5 mutant"
257.09,32.41,"Allelic tag 22A3/57F5 mutant"
262.4,42.8,"Allelic tag 22A3/57F5 mutant"
268.55,63.22,"Allelic tag 22A3/57F5 mutant"
274.4,41.03,"Allelic tag 22A3/57F5 mutant"
280.83,32.66,"Allelic tag 22A3/57F5 mutant"
287.02,55.7,"Allelic tag 22A3/57F5 mutant"
293.58,36.94,"Allelic tag 22A3/57F5 mutant"
299.8,40.93,"Allelic tag 22A3/57F5 mutant"
306.84,35.84,"Allelic tag 22A3/57F5 mutant"
313.61,32.29,"Allelic tag 22A3/57F5 mutant"
321.02,47.46,"Allelic tag 22A3/57F5 mutant"
328.11,22.46,"Allelic tag 22A3/57F5 mutant"
335.83,34.14,"Allelic tag 22A3/57F5 mutant"
343.19,35.67,"Allelic tag 22A3/57F5 mutant"
350.88,44.58,"Allelic tag 22A3/57F5 mutant"
358.4,33.41,"Allelic tag 22A3/57F5 mutant"
366.61,28.27,"Allelic tag 22A3/57F5 mutant"
375.44,56.89,"Allelic tag 22A3/57F5 mutant"
383.64,51.43,"Allelic tag 22A3/57F5 mutant"
392.48,67.17,"Allelic tag 22A3/57F5 mutant"
401.12,34.72,"Allelic tag 22A3/57F5 mutant"
410.15,28.57,"Allelic tag 22A3/57F5 mutant"
418.73,28.63,"Allelic tag 22A3/57F5 mutant"
428.96,34.17,"Allelic tag 22A3/57F5 mutant"
438.23,31.71,"Allelic tag 22A3/57F5 mutant"
448.1,32.29,"Allelic tag 22A3/57F5 mutant"
458.35,35.59,"Allelic tag 22A3/57F5 mutant"
469.36,30.95,"Allelic tag 22A3/57F5 mutant"
479.32,18.78,"Allelic tag 22A3/57F5 mutant"
490.36,54.45,"Allelic tag 22A3/57F5 mutant"
501.2,34.26,"Allelic tag 22A3/57F5 mutant"
512.79,25.01,"Allelic tag 22A3/57F5 mutant"
524.24,48.8,"Allelic tag 22A3/57F5 mutant"
535.89,49.04,"Allelic tag 22A3/57F5 mutant"
548.19,27.87,"Allelic tag 22A3/57F5 mutant"
560.38,33.79,"Allelic tag 22A3/57F5 mutant"
572.93,34.23,"Allelic tag 22A3/57F5 mutant"
585.98,34.16,"Allelic tag 22A3/57F5 mutant"
598.85,38.8,"Allelic tag 22A3/57F5 mutant"
612.58,61.61,"Allelic tag 22A3/57F5 mutant"
626.23,47.41,"Allelic tag 22A3/57F5 mutant"
640.85,42.79,"Allelic tag 22A3/57F5 mutant"
655.27,29.49,"Allelic tag 22A3/57F5 mutant"
670.2,51.78,"Allelic tag 22A3/57F5 mutant"
684.9,45.05,"Allelic tag 22A3/57F5 mutant"
700.53,29.76,"Allelic tag 22A3/57F5 mutant"
716.5,62.32,"Allelic tag 22A3/57F5 mutant"
732.98,67.41,"Allelic tag 22A3/57F5 mutant"
749.43,48.67,"Allelic tag 22A3/57F5 mutant"
766.61,67.13,"Allelic tag 22A3/57F5 mutant"
782.64,37.27,"Allelic tag 22A3/57F5 mutant"
801.16,38.73,"Allelic tag 22A3/57F5 mutant"
819.32,46.35,"Allelic tag 22A3/57F5 mutant"
837.32,51.01,"Allelic tag 22A3/57F5 mutant"
856.16,56.79,"Allelic tag 22A3/57F5 mutant"
875.01,54.67,"Allelic tag 22A3/57F5 mutant"
894.15,46.34,"Allelic tag 22A3/57F5 mutant"
916.02,42.31,"Allelic tag 22A3/57F5 mutant"
935.7,52.97,"Allelic tag 22A3/57F5 mutant"
957.35,70.64,"Allelic tag 22A3/57F5 mutant"
979.23,54.67,"Allelic tag 22A3/57F5 mutant"
1001.76,46.49,"Allelic tag 22A3/57F5 mutant"
1023.74,66.11,"Allelic tag 22A3/57F5 mutant"
1046.06,62.77,"Allelic tag 22A3/57F5 mutant"
1069.48,44.8,"Allelic tag 22A3/57F5 mutant"
1094.85,49.71,"Allelic tag 22A3/57F5 mutant"
1118.65,51.18,"Allelic tag 22A3/57F5 mutant"
1144.96,43.85,"Allelic tag 22A3/57F5 mutant"
1168.95,64.22,"Allelic tag 22A3/57F5 mutant"
1195.48,95.29,"Allelic tag 22A3/57F5 mutant"
1223.16,45.94,"Allelic tag 22A3/57F5 mutant"
1251.81,84.28,"Allelic tag 22A3/57F5 mutant"
1278.92,74.07,"Allelic tag 22A3/57F5 mutant"
1308.57,81.52,"Allelic tag 22A3/57F5 mutant"
1338.9,53.53,"Allelic tag 22A3/57F5 mutant"
1367.28,72.71,"Allelic tag 22A3/57F5 mutant"
1398.17,93.37,"Allelic tag 22A3/57F5 mutant"
1430.5,90.05,"Allelic tag 22A3/57F5 mutant"
1463.12,56.32,"Allelic tag 22A3/57F5 mutant"
1494.45,86.7,"Allelic tag 22A3/57F5 mutant"
